0;app0A;Travel App;813.4751709773859;30112
1;app1M;Generator App;277.98685222073726;37032
2;app2u;Food App;195.91026946134554;42867
3;app3V;Iphone App;992.7142600308781;20053
4;app4N;Iphone App;438.67446163821194;5822
5;app5R;Games App;116.94275053798658;26712
6;app6m;Great App;591.6381895491213;9721
7;app7u;Iphone App;153.5027874870877;31781
8;app8x;Locations App;613.1127083793456;41988
9;app9D;Generator App;856.9402496354785;22379
10;app10J;Travel App;371.7685781340258;32442
11;app11n;Utils App;703.7984596928806;7746
12;app12C;Travel App;628.6743813494496;368
13;app13l;Iphone App;793.6988274229954;6298
14;app14C;Iphone App;262.49508483478957;2132
15;app15g;Games App;703.7966830112949;43103
16;app16j;Iphone App;659.0575641883078;32784
17;app17S;Editor App;981.0443004964455;19993
18;app18t;Food App;175.0332569994213;15574
19;app19K;Games App;518.9235214169064;8245
20;app20i;Utils App;708.4069209900633;48355
21;app21W;Reader App;667.9160199074439;47247
22;app22n;Reader App;357.692205405715;49998
23;app23r;Editor App;855.9595240082652;14202
24;app24m;Utils App;347.52356240764345;11671
25;app25j;Travel App;854.4939123558638;41076
26;app26E;Food App;168.29684586052747;40458
27;app27A;Utils App;813.4316689553085;23717
28;app28y;Travel App;121.94859387415258;30619
29;app29v;Reader App;508.4922194850508;34797
30;app30B;Editor App;548.757226021235;6186
31;app31D;Locations App;468.82070511138113;23482
32;app32M;Travel App;203.21749034468434;14414
33;app33Z;Locations App;705.666901550938;46338
34;app34r;Editor App;806.5819596458457;41611
35;app35q;Food App;744.1303360726216;9379
36;app36B;Iphone App;401.58190842592285;3310
37;app37u;Games App;773.5835374917467;6760
38;app38d;Generator App;867.1326011589888;22829
39;app39o;Locations App;914.3654659553197;46740
40;app40b;Iphone App;345.49582557653264;25081
41;app41n;Editor App;316.692625710485;33157
42;app42g;Reader App;987.4159207812307;39853
43;app43Z;Food App;822.4662752378147;31076
44;app44o;Iphone App;712.1630784962524;1438
45;app45m;Iphone App;903.7590143318769;48610
46;app46I;Great App;393.2108786872575;29018
47;app47G;Utils App;311.244912224343;18522
48;app48Y;Games App;156.4430458156261;37771
49;app49O;Reader App;505.6926337350614;13987
